brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
MAZDA,MR 90,6,750000.0,1135000.0,1200000.0,198485.93568982833,1992,1995,450000.0,0.17487747637870338,0.3964757709251101
MERCEDES-BENZ,CLA 180,6,19800000.0,22600000.0,29000000.0,3930658.2236076966,2017,2019,9200000.0,0.17392293024812816,0.40707964601769914
MAZDA,3,7,5490000.0,5800000.0,8025000.0,1006216.9840782946,2004,2015,2535000.0,0.17348568691005078,0.4370689655172414
NISSAN,HB11,19,496250.0,775000.0,1026250.0,133431.9385935845,1982,1988,530000.0,0.17217024334656064,0.6838709677419355
TOYOTA,DX WAGON KE72,10,790000.0,930000.0,1248750.0,158444.3141751841,1983,1987,458750.0,0.17037023029589687,0.4932795698924731
LAND ROVER,DISCOVERY 5 HSE,20,30903000.0,38692000.0,49368000.0,6557974.026047663,2010,2023,18465000.0,0.16949173022970285,0.4772304352320893
TOYOTA,ALLION G GRADE,6,8400000.0,12000000.0,12700000.0,2001436.9837694117,2007,2014,4300000.0,0.16678641531411764,0.35833333333333334
SUZUKI,SWIFT RS,41,8175000.0,11990000.0,14151000.0,1977798.2115344275,2017,2025,5976000.0,0.16495397927726668,0.49841534612176813
TOYOTA,COROLLA DX WAGON,13,912500.0,1280000.0,1612500.0,210679.41832958508,1984,1996,700000.0,0.16459329556998833,0.546875
NISSAN,WINGROAD,9,2300000.0,3300000.0,4100000.0,543139.0245600108,1996,2005,1800000.0,0.16458758320000327,0.5454545454545454
AUSTIN,MINI COOPER,7,2150000.0,2300000.0,3000000.0,375753.2118165806,1980,1997,850000.0,0.1633709616593829,0.3695652173913043
NISSAN,N17,21,3575000.0,4500000.0,6062500.0,732553.355065208,2004,2011,2487500.0,0.16278963445893513,0.5527777777777778
TOYOTA,YARIS,105,5612500.0,7292500.0,9480000.0,1185664.7292987858,2006,2025,3867500.0,0.16258686723329252,0.5303393897840247
NISSAN,FB13,35,1143750.0,1780000.0,2250000.0,286983.53495501046,1990,1998,1106250.0,0.16122670503090475,0.6214887640449438
MITSUBISHI,MINICA,5,1850000.0,2375000.0,2862500.0,381675.58213750063,2000,2004,1012500.0,0.1607055082684213,0.4263157894736842
