brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
HYUNDAI,GRAND I10,16,5290000.0,82355000.0,97700000.0,41174974.11327865,2016,2025,92410000.0,0.4999693292851515,1.1220933762370227
BMW,320D,5,5450000.0,18000000.0,29575000.0,8969747.766799243,2000,2013,24125000.0,0.49831932037773574,1.3402777777777777
TOYOTA,CAMRY,46,1350000.0,38610500.0,48503000.0,18663208.76496941,1991,2025,47153000.0,0.4833713307253055,1.2212481060851323
FORD,LASER,20,750000.0,1727500.0,3200000.0,825462.031706773,1984,2001,2450000.0,0.4778361978042101,1.4182344428364688
MAZDA,MAZDA 2 SKYACTIV G,25,10057000.0,91010000.0,99680000.0,43425450.67795306,2023,2025,89623000.0,0.47715032060161583,0.9847599164926931
TOYOTA,CARINA,56,580000.0,2987500.0,5150000.0,1387867.9453198558,1983,2008,4570000.0,0.4645583080568555,1.5297071129707114
VOLVO,S40,6,2000000.0,2847500.0,5350000.0,1229799.441643501,1997,2004,3350000.0,0.43188742463336294,1.1764705882352942
DAIHATSU,MOVE,33,3936250.0,71470000.0,87400000.0,29900756.140199564,2006,2025,83463750.0,0.418367932561908,1.1678151672030221
HONDA,CITY,41,1817500.0,11772000.0,14255000.0,4890690.55834654,1998,2025,12437500.0,0.41545111776644067,1.0565324498810738
NISSAN,BLUEBIRD,29,700000.0,2300000.0,4050000.0,889241.3590141211,1982,2004,3350000.0,0.3866266778322266,1.4565217391304348
SUZUKI,BALENO,10,2275000.0,8225000.0,9100000.0,3068092.965417516,1999,2020,6825000.0,0.3730204213273576,0.8297872340425532
TOYOTA,CORSA,20,875000.0,2632500.0,3675000.0,963438.1914569184,1985,2000,2800000.0,0.3659784203065217,1.063627730294397
NISSAN,MAGNITE TEKNA,25,10050000.0,93990000.0,98880000.0,34111602.462993935,2023,2025,88830000.0,0.36292799726560204,0.945100542610916
