brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
TOYOTA,VIOS,52,3575000.0,4862500.0,6375000.0,779038.3940469648,2003,2011,2800000.0,0.1602135514749542,0.5758354755784062
DAIHATSU,ROCKY,50,11246000.0,13647500.0,16259000.0,1280465.119734678,2023,2025,5013000.0,0.09382415238942501,0.367320021982048
HONDA,CR-V,50,19820000.0,24522000.0,29208000.0,2246009.3731972263,2023,2025,9388000.0,0.09159160644308076,0.38283989886632414
HONDA,ZR-V,50,15212000.0,19322500.0,24460000.0,2314895.9707749737,2023,2025,9248000.0,0.119803129552334,0.4786130159140898
TOYOTA,HARRIER,50,25408000.0,32104500.0,39442000.0,3158225.059253688,2023,2025,14034000.0,0.09837328284987114,0.43713498107741905
TOYOTA,RAIZE,50,12518000.0,14390500.0,16451000.0,1015965.4268583305,2023,2025,3933000.0,0.07059973085426709,0.2733053055835447
SUZUKI,A-STAR,49,2625000.0,3850000.0,4500000.0,444172.3899977944,2010,2013,1875000.0,0.11536945194747907,0.487012987012987
SUZUKI,ESTILO,48,2899375.0,3290000.0,3684375.0,170535.6905607231,2008,2015,785000.0,0.05183455640143559,0.23860182370820668
SUZUKI,WAGON R FX,47,5479375.0,5931190.476,6334375.0,228128.6868707425,2015,2018,855000.0,0.03846254605948732,0.1441531853444391
TOYOTA,VITZ KSP90,47,5090000.0,5500000.0,6060128.676,232561.32524677282,2005,2012,970128.676,0.04228387731759506,0.176387032
SUZUKI,ALTO LXI,46,2250000.0,3225000.0,3650000.0,375778.6684362884,2005,2016,1400000.0,0.11652051734458556,0.43410852713178294
TOYOTA,CAMRY,46,1350000.0,38610500.0,48503000.0,18663208.76496941,1991,2025,47153000.0,0.4833713307253055,1.2212481060851323
NISSAN,DAYZ,44,5150000.0,68740000.0,87670000.0,35893841.90943539,2015,2025,82520000.0,0.5221681976932702,1.200465522257783
PEUGEOT,406,44,1603000.0,2912500.0,26890000.0,7390001.0703406045,1980,2007,25287000.0,2.5373394232929116,8.682231759656652
TATA,NANO,44,1000000.0,1589500.0,2175000.0,383576.34934660967,2011,2017,1175000.0,0.24131887344863773,0.7392261717521234
TOYOTA,ALLION 240,44,6200000.0,7081666.667,8800000.0,672202.5123776973,2002,2007,2600000.0,0.09492151268713439,0.36714521062051564
MICRO,PANDA CROSS,43,2560000.0,2990000.0,3825000.0,348996.77434634086,2012,2018,1265000.0,0.11672132921282302,0.4230769230769231
RENAULT,KWID,43,3002500.0,3216250.0,3462500.0,121023.4594649475,2016,2019,460000.0,0.03762874759889545,0.14302370773416245
HONDA,CITY,41,1817500.0,11772000.0,14255000.0,4890690.55834654,1998,2025,12437500.0,0.41545111776644067,1.0565324498810738
MAZDA,DEMIO,41,875000.0,3200000.0,5875000.0,1754289.3165317858,1997,2010,5000000.0,0.548215411416183,1.5625
MAZDA,FAMILIA,41,500000.0,2395000.0,5175000.0,1205532.2931203868,1985,2004,4675000.0,0.5033537758331469,1.951983298538622
SUZUKI,SWIFT RS,41,8175000.0,11990000.0,14151000.0,1977798.2115344275,2017,2025,5976000.0,0.16495397927726668,0.49841534612176813
SUZUKI,WAGON R FZ SAFETY,41,5275000.0,6350000.0,6995000.0,549595.6909656164,2014,2021,1720000.0,0.0865505025142703,0.27086614173228346
TOYOTA,AQUA G GRADE,41,6650000.0,7525000.0,8200000.0,331620.8559919214,2012,2014,1550000.0,0.044069216743112476,0.2059800664451827
TOYOTA,COROLLA 141,41,5725000.0,6590000.0,7525000.0,465422.67138633045,2007,2012,1800000.0,0.07062559505103648,0.2731411229135053
LAND ROVER,DEFENDER 110 X-DYNAMIC HSE,40,90455000.0,101298000.0,109936000.0,6307106.5679100705,2010,2023,19481000.0,0.062262893323758325,0.19231376730044028
LAND ROVER,DEFENDER OCTA,40,132270000.0,141936500.0,159584000.0,9268498.897596288,2024,2026,27314000.0,0.06530032019668153,0.19243816777220799
LAND ROVER,DISCOVERY 2,40,35040000.0,48235000.0,57540000.0,6698545.575011997,2010,2023,22500000.0,0.13887313309862126,0.4664662589406033
LAND ROVER,FREELANDER 2,40,10031000.0,12985500.0,99930000.0,37505998.12922235,2010,2023,89899000.0,2.888298342707046,6.923029532940587
LAND ROVER,RANGE ROVER EVOQUE,40,12621000.0,18764000.0,24908000.0,3892167.157104914,2010,2023,12287000.0,0.2074273692765356,0.6548177360903858
LAND ROVER,RANGE ROVER L460 AUTOBIOGRAPHY,40,151602000.0,163245000.0,179773000.0,7976957.499452841,2024,2026,28171000.0,0.0488649422613424,0.17256883824925726
LAND ROVER,RANGE ROVER SPORT L461 DYNAMIC HSE,40,120332000.0,135498000.0,149784000.0,9177573.90121046,2024,2026,29452000.0,0.0677321724395228,0.2173611418618725
